"make","model","raw_n","ave_year","weighted_n","co2_gpm","mpg_city","mpg_highway","weight_unladen"
"Porsche","Cayenne",2,2010,1042.88839,NA,NA,NA,NA
"Mazda","CX-7",3,2011,1040.97251,441.553747139588,18.07485,23.256925,3787
"Mercedes-Benz","SL",2,1998,1035.25331,NA,NA,NA,NA
"Audi","TT",5,2007,1033.9344,NA,NA,NA,NA
"Lincoln","Mark VIII",2,1998,1028.14986,493.722222222222,15,24,3775
"BMW","4 Series",3,2016,1024.74754,372,20.3173,30.3446,3775
"Ford","Expedition MAX",1,2019,1020.87868,480,16.50155,22,NA
"Volkswagen","Other",3,2013,1020.70364,NA,NA,NA,NA
"Hyundai","Other",3,2011,1020.69377,NA,NA,NA,NA
"Infiniti","QX60",7,2016,1019.55655,364.5,22.8008,27.25915,4392.5
"GMC","Savana",2,2009,1019.22247,NA,NA,NA,NA
"Oldsmobile","Cutlass Supreme",2,1986,1019.03325,NA,NA,NA,NA
"Toyota","FJ Cruiser",6,2010,1012.73269,487.990153078775,16.5,21,4295
"Saturn","Sky",1,2009,1005.06743,423.190476190476,19,26,NA
"Toyota","Echo",2,2002,1003.04244,286.976041666667,28,36,2055
"Kia","Forte Koup",2,2012,1001.58063,NA,NA,NA,NA
"Lexus","LS",2,2006,999.37397,467.736842105263,16,23,3990
"Jaguar","XJS",2,1994,998.17885,NA,NA,NA,NA
"Jeep","Other",2,2008,996.301,NA,NA,NA,NA
"Volkswagen","Beetle",6,2014,990.53846,339,23.6679,31.32345,3143
"GMC","Other",6,1998,989.21619,NA,NA,NA,NA
"Mazda","Other",5,2008,970.3771,NA,NA,NA,NA
"Toyota","Scion iQ",1,2012,967.44819,240.189189189189,36,37.4,2127
"BMW","Z4",2,2010,956.61826,NA,NA,NA,NA
"Mercedes-Benz","Metris",1,2018,955.92618,404,20.5296,24.1172,4380
"Mercedes-Benz","380",1,1985,955.00817,592.466666666667,14,17,3577.5
"Mitsubishi","3000GT",1,1994,951.60181,NA,NA,NA,NA
"Volkswagen","Golf SportWagen",6,2016,948.00019,311.5,24.9253,34.3557,3025.5
"Chevrolet","S10",10,1998,945.61576,480.729532163743,15.5,21,NA
"Honda","Clarity",2,2018,944.81601,28.5,44,40,4055.5
"Pontiac","G8",2,2009,942.8629,543.094444444444,14,22,3995
"Audi","S8",1,2015,934.27722,452,16,26.7008,4566
"Chevrolet","G30",1,1994,934.19937,651.570913461539,12.25,17,4206
"Chrysler","Intrepid",1,1999,924.67428,NA,NA,NA,NA
"Lincoln","Navigator L",1,2015,924.33273,538,14.7421,19.4198,NA
"Ford","C-Max Energi",3,2014,920.3976,NA,NA,NA,NA
"Tesla","Model S",6,2015,917.23714,NA,NA,NA,NA
"Audi","A7",1,2013,916.667,418,17.8058,27.5484,4052
"Nissan","350Z",2,2005,912.36276,NA,NA,NA,NA
"Infiniti","FX45",1,2006,906.1078,592.466666666667,13,17,4391
"Fiat","500c",1,2013,904.6961,NA,NA,NA,NA
"Fiat","500X",1,2017,904.6961,NA,NA,NA,2967
"Chevrolet","Aveo",10,2007,903.6919,335.47792022792,23,32,2437
"Volkswagen","Routan",2,2012,901.45703,444.35,17.1523,24.89,4639
"Rolls Royce","Silver Seraph",1,1999,898.24024,NA,NA,NA,NA
"Pontiac","Aztek",4,2003,898.17781,NA,NA,NA,NA
"Pontiac","G5",1,2007,897.95342,362.885833333333,21.5,30,2991
"Ford","F-150 Heritage",1,2004,896.24237,NA,NA,NA,4345
"Mitsubishi","Diamante",1,2002,895.9027,493.722222222222,16,23,3494
"Volvo","S40",11,2006,893.01533,418.862391774892,18.5,26.5,3278
"Mitsubishi","Mirage",5,2012,888.65019,NA,NA,NA,NA
"Land Rover","Discovery",1,2019,888.27983,474,18.31225,23.12345,4833.5
"Oldsmobile","Aurora",2,2000,885.51405,NA,NA,NA,NA
"Ford","E450 Super Duty",3,2011,885.42004,NA,NA,NA,NA
"GMC","Sierra Limited",1,2019,884.91537,NA,NA,NA,5229
"Porsche","911",4,2000,884.55328,NA,NA,NA,NA
"Land Rover","LR2",2,2011,878.01638,NA,NA,NA,NA
"Chevrolet","Caprice Classic",2,1992,875.85281,NA,NA,NA,NA
"Nissan","Other",2,2018,866.47171,NA,NA,NA,NA
"Isuzu","Rodeo",1,2001,861.06001,530.932904411765,15,19.5,3856
"Oldsmobile","Bravada",3,2003,859.64435,573.952083333333,13.5,19.5,4628
"Chevrolet","K30",1,1981,858.72034,NA,NA,NA,4262.5
"Lexus","RC",1,2016,846.17453,396,19.184,27.5579,3748
"Infiniti","Q50",4,2015,837.60513,389,19.6283,28.7764,3748
"Mitsubishi","Other",2,2018,826.26333,NA,NA,NA,NA
"Chevrolet","Silverado Classic",3,2007,825.63117,555.4375,14.5,18.5,NA
"MINI","Cooper Countryman",6,2013,822.45855,NA,NA,NA,NA
"Chrysler","Other",5,2005,808.71689,NA,NA,NA,NA
"Toyota","Venza",12,2012,793.76915,NA,NA,NA,NA
"Ford","F-450",2,2000,788.72015,NA,NA,NA,NA
"Hyundai","Elantra Touring",6,2010,773.35051,341.807692307692,23,30.5,2937
"Pontiac","Solstice",2,2008,765.28324,423.190476190476,19,25.5,2918
"Mercedes-Benz","GLA",3,2017,763.27879,NA,NA,NA,3428
"Ford","Fusion Energi",3,2015,761.23573,129,40.4488,36.2655,NA
"Chevrolet","TrailBlazer EXT",3,2004,760.67005,NA,NA,NA,NA
"Suzuki","Other",6,2004,760.1613,NA,NA,NA,NA
"Ford","Other",7,2003,756.75418,NA,NA,NA,NA
"Chevrolet","Astro",3,1999,740.20224,555.4375,14,18.5,4036.5
"Ford","LTD Crown Victoria",2,1987,709.68482,NA,NA,NA,NA
"Hyundai","Entourage",2,2008,703.43353,493.722222222222,16,23,4400
"Ford","Transit Van",2,2016,691.92348,NA,NA,NA,NA
"Hyundai","Elantra Coupe",1,2014,689.73436,322,23.6431,33.3046,2861
"Volkswagen","Rabbit",7,2008,681.2328,370.291666666667,21.5,29,3056.5
"BMW","Other",3,2003,678.46308,NA,NA,NA,NA
"Chevrolet","Spark",6,2015,676.90182,NA,NA,NA,NA
"Pontiac","Fiero",4,1987,662.73602,419.014254385965,18.5,27.5,2556.5
"GMC","Suburban",3,1996,662.15543,NA,NA,NA,NA
"Cadillac","Escalade",7,2008,658.22713,634.785714285714,12,19,5751.5
"Mercedes-Benz","S",1,2005,653.43875,NA,NA,NA,4300
"Ford","Thunderbird",4,1998,638.62199,NA,NA,NA,NA
"Mercedes-Benz","190",4,1992,626.71199,NA,NA,NA,NA
"Toyota","Pickup",1,1994,620.70159,NA,NA,NA,3345
"Kia","Borrego",1,2009,596.07489,500.982843137255,15.75,21,4432.5
"Volkswagen","City Golf",1,2008,586.9827,NA,NA,NA,NA
"Lincoln","MKT",2,2012,566.94172,NA,NA,NA,NA
"Kia","Rondo",7,2008,565.36218,413.572510822511,18.5,26,3388
